argo;argo;name;argo;
argo;calypso;MOSwitch;66;
argo;calypso;MOConstructorInvocation;1335;
argo;calypso;MOJavaEnum;5;
argo;calypso;MOTypeParameter;13;
argo;calypso;MOWhile;509;
argo;calypso;MOParametrizedTypeReference;12;
argo;calypso;MOPrimitiveType;8;
argo;calypso;MOSynchronizedBlock;106;
argo;calypso;MOJava;1;
argo;calypso;MOQualifiedTypeReference;2;
argo;calypso;MOArrayTypeReference;1390;
argo;calypso;MOArrayAccess;912;
argo;calypso;name;calypso;
argo;calypso;MOParametrizableClass;7;
argo;calypso;MOContinue;176;
argo;calypso;MOCatch;1084;
argo;calypso;MOAttributeAccess;6617;
argo;calypso;MOPrimitiveTypeReference;8;
argo;calypso;MOReturnEmpty;849;
argo;calypso;MOFor;423;
argo;calypso;MONewInvocation;8866;
argo;calypso;MOBinaryArithmeticOperation;17845;
argo;calypso;MOAnnotationInstance;2215;
argo;calypso;MOUnaryArithmeticOperation;2899;
argo;calypso;MOEnumEntry;25;
argo;calypso;MOTryCatch;952;
argo;calypso;MOConditionalExpression;202;
argo;calypso;MODoWhile;11;
argo;calypso;MOVariableArgumentsParameter;3;
argo;calypso;MOJavaClass;2042;
argo;calypso;MOIfElse;12236;
argo;calypso;MOStatementDeclaration;3;
argo;calypso;MOLabelWithStatement;5;
argo;calypso;MOConstructor;1871;
argo;calypso;MOStaticInitializer;37;
argo;calypso;MOCastExpression;4235;
argo;calypso;MOForEach;1127;
argo;calypso;MOImport;17236;
argo;calypso;MOBreak;150;
argo;calypso;MOParametrizableClassType;2;
argo;calypso;MODeclarationUnit;1884;
argo;calypso;MOAssertionStatement;133;
argo;calypso;MOThrow;2112;
argo;calypso;MOParametrizableMethod;4;
argo;calypso;MOJavaClassType;184;
argo;epaie;MOSynchronizedBlock;106;
argo;epaie;MOPackage;238;
argo;epaie;MOAnnotationInstance;2215;
argo;epaie;name;epaie;
argo;epaie;MOParametrizableClass;7;
argo;epaie;MOParametrizableClassType;2;
argo;epaie;MOParametrizedTypeReference;12;
argo;epaie;MOImport;17236;
argo;epaie;MOConstructor;1871;
argo;epaie;MOCatch;1084;
argo;epaie;MOArrayTypeReference;1390;
argo;epaie;MOArrayLiteral;164;
argo;epaie;MOBreak;150;
argo;epaie;MOQualifiedTypeReference;2;
argo;epaie;MOParametrizableMethod;4;
argo;epaie;MOConstructorInvocation;1335;
argo;epaie;MOAssertionStatement;133;
argo;epaie;MOConditionalExpression;202;
argo;epaie;MOContinue;176;
argo;epaie;MOTypeParameter;13;
argo;epaie;MOTryCatch;952;
argo;epaie;MOJavaEnum;5;
argo;epaie;MOStaticInitializer;37;
argo;epaie;MOJavaClassType;184;
argo;epaie;MOFor;423;
argo;epaie;MOPackageReference;238;
argo;epaie;MOJavaClass;2042;
argo;epaie;MOVariableArgumentsParameter;3;
argo;epaie;MOJava;1;
argo;epaie;MOCharacterLiteral;211;
argo;epaie;MODoWhile;11;
argo;epaie;MOCastExpression;4235;
argo;epaie;MOLabelWithStatement;5;
argo;epaie;MOThrow;2112;
argo;epaie;MOSwitch;66;
argo;epaie;MOStatementDeclaration;3;
argo;moose;MOSwitch;66;
argo;moose;MOConstructorInvocation;1335;
argo;moose;MOJavaEnum;5;
argo;moose;MOTypeParameter;13;
argo;moose;MOWhile;509;
argo;moose;MOParametrizedTypeReference;12;
argo;moose;MOPrimitiveType;8;
argo;moose;MOSynchronizedBlock;106;
argo;moose;MOJava;1;
argo;moose;MOQualifiedTypeReference;2;
argo;moose;MOArrayTypeReference;1390;
argo;moose;MOArrayAccess;912;
argo;moose;name;moose;
argo;moose;MOParametrizableClass;7;
argo;moose;MOContinue;176;
argo;moose;MOCatch;1084;
argo;moose;MOAttributeAccess;6617;
argo;moose;MOPrimitiveTypeReference;8;
argo;moose;MOReturnEmpty;849;
argo;moose;MOFor;423;
argo;moose;MONewInvocation;8866;
argo;moose;MOBinaryArithmeticOperation;17845;
argo;moose;MOAnnotationInstance;2215;
argo;moose;MOUnaryArithmeticOperation;2899;
argo;moose;MOEnumEntry;25;
argo;moose;MOTryCatch;952;
argo;moose;MOConditionalExpression;202;
argo;moose;MODoWhile;11;
argo;moose;MOVariableArgumentsParameter;3;
